sentence,type
মতে এষং বংনর খুষ্টীয় গণন| -অনুযায়ী দেওয়া,sadhu
"ভদ্রলোক বললেন, হ্যা তাকাব",cholito
"সে খুশি-খুশি গলায় বলল, হিমুদা, আমি পড়াশোনা করছি",cholito
তারাদল এক এক বার চক্ষু বুঝিয়া ইঙ্গিতে যেন তাহাকে নিষেধ করিতেছে,sadhu
আমি তার জন্যে,cholito
নাম্বার ওয়ান.......,cholito
"তাহাকে জিজ্ঞাসা করিলেন, “তুমি মবারকের কাছে কখন গায়িয়াছিলে 1” দরিয়া",sadhu
তোমাদের মধ্যে এই প্রিয়তম মাবিয়ার এক পুত্র জন্মিবে; সেই পুত্র জগতে এজিদ্‌ নামে খ্যাত হইবে; সেই এজিদ্‌ হাসান-হোসেনের পরম শত্রু হইয়া প্রাণবধ করাইবে,sadhu
স্বপ্ন আজ মায়মুনার ভাগ্যে সত্য সত্য ফলিয়া গেল,sadhu
এবং কি জন্যে জানি আমি পুরোপুরি নিশ্চিত হয়ে গেলাম,cholito
নাকে-মুখে ভোসভোস করে ধোঁয়া ছাড়ছে,cholito
"যখন দুই ভ্রাতা ছিলাম, তখন এজিদের সৈন্যেরা সাহস করিয়া প্রকাশ্য যুদ্ধ করিতে অগ্রসর হয় নাই",sadhu
"পুতরস্থানীয়, কেহ বা ভাই, কেহ বা বঙ়ন্ত & আমর",sadhu
"আমার মরণের জন্য তোমরা ব্যাকুল হইও না, কোন চিন্তা করিয়ো না",sadhu
"আমি প্রার্থনা করিতেছি, তোমরাও কায়মনে সেই জগৎপিতার সমীপে প্রার্থনা কর, শত্রু বিনাশ করিয়া তোমাদিগকে যেন উদ্ধার করিতে পারি",sadhu
ছাতা কিনব না”,cholito
গাড়ি তোমাকে নামিয়ে দেবে,cholito
নবকুমারের লিপি পাঠি করিয়া সেক্টরূপ হইল,sadhu
প্রাণরক্ষা মাত্র উপকারের অনুরোধে তাছার' পাঁণিগ্রহণে সম্মত হুইতেন কিনা বলিতে পারি না,sadhu
"” কপীলকুগুলা চমত্ক্কভ1 হইয়া কহিলেন, « সে কি",sadhu
এইজন্য সমাজের স্বাধীনতাই যথার্থভাবে ভারতবর্ষের স্বাধীনতা,sadhu
আমি পালিয়ে-পালিয়ে বেড়াই,cholito
আমি আসলে কিছুই জানি না,cholito
"“জানি না, তবে আঁচ করতে পারি",cholito
"করিয়া আমাদের এই পুরাতন দেশের চিরস্তন প্রকৃতির প্রতি মনোষোগ করিবেন-_-যে সকল পদার্থ পরদেশের সঙ্জীব কলেবরের অঙ্গ প্রত, যথাস্থান হইতে ভ্রষ্ট হইল এদেশে যাহা অসঙ্গত-আবর্জনা-রূপে গণ্য হইবে, অন্থকরণের মোহে তাহাকে তিনি আদর করিবেন না,_ বিরোধসূলক যে সংগ্রামশীলতা যুরোপীন্ন সত্যতার স্বভাবগত, যাহী কখনই এদেশে ৃত্বিকায় মূলবিস্তার করিয়া ফলবাঁন্‌ হইবে না, তাহাকে পরিত্যাগ বরিক্া যে মলম মিলনপরতা, যে অবিচলিত ধর্মবনিষ্ঠা ভারতবর্ষের চিরকালীন সাঁধনা, তাহাঁকেই বর্বমানকাঁগের অবস্থাস্তবের সহিত তিনি সঙ্গত করিয়া লইবাঁর চেষ্টা কবিবেন",sadhu
